Query,Results
zycus,"ariba,coupa,sap ariba,gep,ivalua,infosys,oracle,jaggaer"
dell,"hp,lenovo,hp laptops,asus,lenovo laptop,hp vs lenovo,lg monitor,apple laptops,samsung monitor,dell emc"
apple,"android,samsung,oneplus,microsoft,banana,guava,google,fbi,coffee,qualcomm"
starbucks,"ccd,dunkin donuts,sardarbuksh,sardarbuksh case,costa,mcdonalds,barista,nescafe,greggs,luckin"
dominos,"domino,pan,medium,large,pizza hut india,pizza hut,extravaganzza,deluxe,robust,marinara,handmade,hand tossed,mcdonalds,kfc,pizza hut which is better"
